site_url,country_id,avail
http://dnr-pravda.ru,at1,True
http://dnr-pravda.ru,ru1,True
http://dnr-pravda.ru,ua2,True
http://dnr-pravda.ru,ru2,True
http://dnr-pravda.ru,lt1,True
http://dnr-pravda.ru,us2,True
http://dnr-pravda.ru,hk1,True
http://dnr-pravda.ru,ir1,True
http://dnr-pravda.ru,md1,True
http://dnrailway.ru,tr1,True
http://dnrailway.ru,fr2,True
http://dnrailway.ru,us1,True
http://dnrailway.ru,pt1,True
http://dnrailway.ru,au1,True
http://dnrailway.ru,ch1,True
http://dnrailway.ru,de4,True
http://dnrailway.ru,it2,True
http://dnrailway.ru,nl1,True
http://dnrailway.ru,ca1,True
http://dnrailway.ru,ua1,True
http://dnrailway.ru,md1,True
http://dnrailway.ru,us2,True
http://dnrailway.ru,lt1,True
http://dnrailway.ru,hk1,True
http://dnrailway.ru,ir1,True
http://dnrailway.ru,ua2,True
http://dnrailway.ru,ru2,True
http://dnrailway.ru,at1,True
http://dnrailway.ru,kz1,True
http://dnrailway.ru,ru1,True
http://dnrles.ru,ca1,True
http://dnrles.ru,nl1,True
http://dnrles.ru,it2,True
http://dnrles.ru,ua1,False
http://dnrles.ru,de4,True
http://dnrles.ru,ch1,True
http://dnrles.ru,au1,True
http://dnrles.ru,pt1,True
http://dnrles.ru,fr2,True
http://dnrles.ru,tr1,True
http://dnrles.ru,us1,True
http://dnrles.ru,ru1,True
http://dnrles.ru,at1,True
http://dnrles.ru,kz1,True
http://dnrles.ru,ru2,True
http://dnrles.ru,ua2,True
http://dnrles.ru,ir1,True
http://dnrles.ru,hk1,True
http://dnrles.ru,us2,True
http://dnrles.ru,lt1,True
http://dnrles.ru,md1,True
http://dnrsovet.su,ch1,True
http://dnrsovet.su,au1,True
http://dnrsovet.su,pt1,True
http://dnrsovet.su,fr2,True
http://dnrsovet.su,tr1,True
http://dnrsovet.su,us1,True
http://dnrsovet.su,it2,True
http://dnrsovet.su,nl1,True
http://dnrsovet.su,ca1,True
http://dnrsovet.su,ua1,True
http://dnrsovet.su,de4,True
http://dnrsovet.su,ir1,True
http://dnrsovet.su,hk1,True
http://dnrsovet.su,us2,True
http://dnrsovet.su,lt1,True
http://dnrsovet.su,md1,True
http://dnrsovet.su,ru1,True
http://dnrsovet.su,kz1,True
http://dnrsovet.su,at1,True
http://dnrsovet.su,ru2,True
